Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,,,,,,
19,"Bin Pu, Yuan Liu, Ningbo Zhu, Kenli Li, Keqin Li",ED-ACNN: Novel attention convolutional neural network based on encoder–decoder framework for human traffic prediction,2020,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494620306268,,289,5/14/2024 20:15,journal-article,10.1016/j.asoc.2020.106688,1568-4946,,97,,106688,106688,19,4.75,4,5,4,,,,,,,,,
19,"Xianghua Chu, Fulin Cai, Da Gao, Li Li, Jianshuang Cui, Su Xiu Xu, Quande Qin",An artificial bee colony algorithm with adaptive heterogeneous competition for global optimization problems,2020,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494620303318,,290,5/14/2024 20:15,journal-article,10.1016/j.asoc.2020.106391,1568-4946,,93,,106391,106391,19,4.75,3,7,4,,,,,,,,,
19,"Jifeng Guo, Lin Wang, Kaipeng Fan, Bo Yang",An efficient model for predicting setting time of cement based on broad learning system,2020,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494620306360,,291,5/14/2024 20:15,journal-article,10.1016/j.asoc.2020.106698,1568-4946,,96,,106698,106698,19,4.75,5,4,4,,,,,,,,,
14,"Rui Zheng, Shulin Zhang, Lei Liu, Yuhao Luo, Mingzhai Sun",Uncertainty in Bayesian deep label distribution learning,2021,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494620309844,,292,5/14/2024 20:15,journal-article,10.1016/j.asoc.2020.107046,1568-4946,,101,,107046,107046,14,4.67,3,5,3,,,,,,,,,
14,"Xing Zhang, Wei Sun, Min Xue, Anping Lin",Probability-optimal leader comprehensive learning particle swarm optimization with Bayesian iteration,2021,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494621000557,,293,5/14/2024 20:15,journal-article,10.1016/j.asoc.2021.107132,1568-4946,,103,,107132,107132,14,4.67,4,4,3,,,,,,,,,
14,"Xing Zhang, Wei Sun, Min Xue, Anping Lin",Probability-optimal leader comprehensive learning particle swarm optimization with Bayesian iteration,2021,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494621000557,,294,5/14/2024 20:15,journal-article,10.1016/j.asoc.2021.107132,1568-4946,,103,,107132,107132,14,4.67,4,4,3,,,,,,,,,
14,"Peng Zhou, Peipei Li, Shu Zhao, Yanping Zhang",Online early terminated streaming feature selection based on Rough Set theory,2021,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494621009157,,295,5/14/2024 20:15,journal-article,10.1016/j.asoc.2021.107993,1568-4946,,113,,107993,107993,14,4.67,4,4,3,,,,,,,,,
14,"Liang Chen, Wei Wang, Yun Yang",CELOF: Effective and fast memory efficient local outlier detection in high-dimensional data streams,2021,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494621000028,,296,5/14/2024 20:15,journal-article,10.1016/j.asoc.2021.107079,1568-4946,,102,,107079,107079,14,4.67,5,3,3,,,,,,,,,
23,"Jitendra Purohit, Aditya Bagwe, Rishabh Mehta, Ojaswini Mangaonkar, Elizabeth George",Natural Language Processing based Jaro-The Interviewing Chatbot,2019,2019 3rd International Conference on Computing Methodologies and Communication (ICCMC),IEEE,http://xplorestaging.ieee.org/ielx7/8811524/8819605/08819708.pdf?arnumber=8819708,,297,5/14/2024 20:15,proceedings-article,10.1109/iccmc.2019.8819708,,,,,,,23,4.6,5,5,5,,,,,,,,,
23,"You Zhao, Xing He, Yao Yao, Junjian Huang",Plug-in electric vehicle charging management via a distributed neurodynamic algorithm,2019,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494619302194,,298,5/14/2024 20:15,journal-article,10.1016/j.asoc.2019.01.053,1568-4946,,80,,557,566,23,4.6,6,4,5,,,,,,,,,
18,"Lu Zhao, Wenan Tan, Na Xie, Li Huang",An optimal service selection approach for service-oriented business collaboration using crowd-based cooperative computing,2020,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494620302106,,299,5/14/2024 20:15,journal-article,10.1016/j.asoc.2020.106270,1568-4946,,92,,106270,106270,18,4.5,5,4,4,,,,,,,,,
9,"Hao Jiang, Mengxin Lu, Ye Tian, Jianfeng Qiu, Xingyi Zhang",An evolutionary algorithm for solving Capacitated Vehicle Routing Problems by using local information,2022,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494622000126,,300,5/14/2024 20:15,journal-article,10.1016/j.asoc.2022.108431,1568-4946,,117,,108431,108431,9,4.5,2,5,2,,,,,,,,,
9,"Yuanguo Lin, Fan Lin, Lvqing Yang, Wenhua Zeng, Yong Liu, Pengcheng Wu",Context-aware reinforcement learning for course recommendation,2022,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S156849462200432X,,301,5/14/2024 20:15,journal-article,10.1016/j.asoc.2022.109189,1568-4946,,125,,109189,109189,9,4.5,2,6,2,,,,,,,,,
18,"Yao Chen, Jiancheng Lv, Yanan Sun, Bijue Jia",Heart sound segmentation via Duration Long–Short Term Memory neural network,2020,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494620304798,,302,5/14/2024 20:15,journal-article,10.1016/j.asoc.2020.106540,1568-4946,,95,,106540,106540,18,4.5,5,4,4,,,,,,,,,
22,"Yun Liu, Xiaoming Zhang, Feiran Huang, Xianghong Tang, Zhoujun Li",Visual question answering via Attention-based syntactic structure tree-LSTM,2019,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494619303643,,303,5/14/2024 20:15,journal-article,10.1016/j.asoc.2019.105584,1568-4946,,82,,105584,105584,22,4.4,4,5,5,,,,,,,,,
22,"Yiwen Zhang, Chunhui Yin, Zhihui Lu, Dengcheng Yan, Meikang Qiu, Qifeng Tang",Recurrent Tensor Factorization for time-aware service recommendation,2019,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494619305435,,304,5/14/2024 20:15,journal-article,10.1016/j.asoc.2019.105762,1568-4946,,85,,105762,105762,22,4.4,4,6,5,,,,,,,,,
13,"Shuangjie Li, Kaixiang Zhang, Yali Li, Shuqin Wang, Shaoqiang Zhang",Online streaming feature selection based on neighborhood rough set,2021,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494621009479,,305,5/14/2024 20:15,journal-article,10.1016/j.asoc.2021.108025,1568-4946,,113,,108025,108025,13,4.33,3,5,3,,,,,,,,,
13,"Pin Ni, Gangmin Li, Patrick C.K. Hung, Victor Chang",StaResGRU-CNN with CMedLMs: A stacked residual GRU-CNN with pre-trained biomedical language models for predictive intelligence,2021,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494621008978,,306,5/14/2024 20:15,journal-article,10.1016/j.asoc.2021.107975,1568-4946,,113,,107975,107975,13,4.33,3,4,3,,,,,,,,,
13,"Pin Ni, Gangmin Li, Patrick C.K. Hung, Victor Chang",StaResGRU-CNN with CMedLMs: A stacked residual GRU-CNN with pre-trained biomedical language models for predictive intelligence,2021,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494621008978,,307,5/14/2024 20:15,journal-article,10.1016/j.asoc.2021.107975,1568-4946,,113,,107975,107975,13,4.33,3,4,3,,,,,,,,,
13,"Yue Xu, Xiuli Wang",An artificial bee colony algorithm for scheduling call centres with weekend-off fairness,2021,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494621004658,,308,5/14/2024 20:15,journal-article,10.1016/j.asoc.2021.107542,1568-4946,,109,,107542,107542,13,4.33,7,2,3,,,,,,,,,
13,"Zeshan Hu, Lin Xiao, Kenli Li, Keqin Li, Jichun Li",Performance analysis of nonlinear activated zeroing neural networks for time-varying matrix pseudoinversion with application,2021,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494620306736,,309,5/14/2024 20:15,journal-article,10.1016/j.asoc.2020.106735,1568-4946,,98,,106735,106735,13,4.33,3,5,3,,,,,,,,,
17,"Zhuang Chen, Tieyun Qian",Enhancing Aspect Term Extraction with Soft Prototypes,2020,Proceedings of the 2020 Conference on Empirical Methods in Natural Language Processing (EMNLP),Association for Computational Linguistics,http://dx.doi.org/10.18653/v1/2020.emnlp-main.164,,310,5/14/2024 20:15,proceedings-article,10.18653/v1/2020.emnlp-main.164,,,,,,,17,4.25,9,2,4,,,,,,,,,
17,"Yong Wang, Xian Wei, Hao Shen, Lu Ding, Jiuqing Wan",Robust fusion for RGB-D tracking using CNN features,2020,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494620302428,,311,5/14/2024 20:15,journal-article,10.1016/j.asoc.2020.106302,1568-4946,,92,,106302,106302,17,4.25,3,5,4,,,,,,,,,
17,"Yusheng Cheng, Kun Qian, Yibin Wang, Dawei Zhao",Missing multi-label learning with non-equilibrium based on classification margin,2020,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494619307057,,312,5/14/2024 20:15,journal-article,10.1016/j.asoc.2019.105924,1568-4946,,86,,105924,105924,17,4.25,4,4,4,,,,,,,,,
21,"Xiwen Cai, Liang Gao, Fan Li",Sequential approximation optimization assisted particle swarm optimization for expensive problems,2019,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494619304399,,313,5/14/2024 20:15,journal-article,10.1016/j.asoc.2019.105659,1568-4946,,83,,105659,105659,21,4.2,7,3,5,,,,,,,,,
4,"Shijin Wang, Hanyu Zhang",A matheuristic for flowshop scheduling with batch processing machines in textile manufacturing,2023,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494623006129,,314,5/14/2024 20:15,journal-article,10.1016/j.asoc.2023.110594,1568-4946,,145,,110594,110594,4,4,2,2,1,,,,,,,,,
4,"Jiaao Chen, Aston Zhang, Mu Li, Alex Smola, Diyi Yang",A Cheaper and Better Diffusion Language Model with Soft-Masked Noise,2023,Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing,Association for Computational Linguistics,http://dx.doi.org/10.18653/v1/2023.emnlp-main.289,,315,5/14/2024 20:15,proceedings-article,10.18653/v1/2023.emnlp-main.289,,,,,,,4,4,1,5,1,,,,,,,,,
20,"Ahmed Khan, Aaliya Sarfaraz",RNN-LSTM-GRU based language transformation,2019,Soft Computing,Springer Science and Business Media LLC,http://link.springer.com/content/pdf/10.1007/s00500-019-04281-z.pdf,,316,5/14/2024 20:15,journal-article,10.1007/s00500-019-04281-z,1432-7643,,23,24,13007,13024,20,4,10,2,5,,,,,,,,,
4,"Dehao Pei, Chao Luo, Xiaomei Liu",Financial trading decisions based on deep fuzzy self-organizing map,2023,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494622010213,,317,5/14/2024 20:15,journal-article,10.1016/j.asoc.2022.109972,1568-4946,,134,,109972,109972,4,4,1,3,1,,,,,,,,,
12,"Shunxiang Zhang, Hanqing Xu, Guangli Zhu, Xiang Chen, KuanChing Li",A data processing method based on sequence labeling and syntactic analysis for extracting new sentiment words from product reviews,2021,Soft Computing,Springer Science and Business Media LLC,https://link.springer.com/content/pdf/10.1007/s00500-021-06228-9.pdf,,318,5/14/2024 20:15,journal-article,10.1007/s00500-021-06228-9,1432-7643,,26,2,853,866,12,4,2,5,3,,,,,,,,,
8,"Angad Sethi, Kavinder Singh",Natural Language Processing based Automated Essay Scoring with Parameter-Efficient Transformer Approach,2022,2022 6th International Conference on Computing Methodologies and Communication (ICCMC),IEEE,http://xplorestaging.ieee.org/ielx7/9752772/9753686/09753760.pdf?arnumber=9753760,,319,5/14/2024 20:15,proceedings-article,10.1109/iccmc53470.2022.9753760,,,,,,,8,4,4,2,2,,,,,,,,,
16,"Caihua Chen, Peng Wang, Huachao Dong, Xinjing Wang",Hierarchical Learning Water Cycle Algorithm,2020,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494619307161,,320,5/14/2024 20:15,journal-article,10.1016/j.asoc.2019.105935,1568-4946,,86,,105935,105935,16,4,4,4,4,,,,,,,,,
4,Song Chen,Design of computer big data processing system based on genetic algorithm,2023,Soft Computing,Springer Science and Business Media LLC,https://link.springer.com/content/pdf/10.1007/s00500-023-08142-8.pdf,,321,5/14/2024 20:15,journal-article,10.1007/s00500-023-08142-8,1432-7643,,27,11,7667,7678,4,4,4,1,1,,,,,,,,,
4,"Haolin Zhan, Xin Zhu, Jianming Hu",A probabilistic forecasting approach for air quality spatio-temporal data based on kernel learning method,2023,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494622009073,,322,5/14/2024 20:15,journal-article,10.1016/j.asoc.2022.109858,1568-4946,,132,,109858,109858,4,4,1,3,1,,,,,,,,,
12,"Xia Hua, Xinqing Wang, Ting Rui, Faming Shao, Dong Wang",Cascaded panoptic segmentation method for high resolution remote sensing image,2021,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494621004385,,323,5/14/2024 20:15,journal-article,10.1016/j.asoc.2021.107515,1568-4946,,109,,107515,107515,12,4,2,5,3,,,,,,,,,
12,"Xia Hua, Xinqing Wang, Ting Rui, Faming Shao, Dong Wang",Cascaded panoptic segmentation method for high resolution remote sensing image,2021,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494621004385,,324,5/14/2024 20:15,journal-article,10.1016/j.asoc.2021.107515,1568-4946,,109,,107515,107515,12,4,2,5,3,,,,,,,,,
4,"Wen Zhang, Jiangpeng Zhao, Pei Quan, Jiawei Wang, Xiaoyu Meng, Qun Li",Prediction of influent wastewater quality based on wavelet transform and residual LSTM,2023,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494623008761,,325,5/14/2024 20:15,journal-article,10.1016/j.asoc.2023.110858,1568-4946,,148,,110858,110858,4,4,1,6,1,,,,,,,,,
16,"Nima Gerami Seresht, Aminah Robinson Fayek",Neuro-fuzzy system dynamics technique for modeling construction systems,2020,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494620303409,,326,5/14/2024 20:15,journal-article,10.1016/j.asoc.2020.106400,1568-4946,,93,,106400,106400,16,4,8,2,4,,,,,,,,,
12,"Zehua Jiang, Keyu Liu, Jingjing Song, Xibei Yang, Jinhai Li, Yuhua Qian",Accelerator for crosswise computing reduct,2021,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494620306785,,327,5/14/2024 20:15,journal-article,10.1016/j.asoc.2020.106740,1568-4946,,98,,106740,106740,12,4,2,6,3,,,,,,,,,
8,"Ying Li, Fanjun Li",Growing deep echo state network with supervised learning for time series prediction,2022,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494622005683,,328,5/14/2024 20:15,journal-article,10.1016/j.asoc.2022.109454,1568-4946,,128,,109454,109454,8,4,4,2,2,,,,,,,,,
4,"Haihuan Jiang, Guoyin Wang, Qun Liu, Peng Gao, Xin Huang",Hierarchical multi-UAVs task assignment based on dominance rough sets,2023,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494623004635,,329,5/14/2024 20:15,journal-article,10.1016/j.asoc.2023.110445,1568-4946,,143,,110445,110445,4,4,1,5,1,,,,,,,,,
4,"Bo Wang, Hongtao Li, Yina Guo, Jie Wang",PPFLHE: A privacy-preserving federated learning scheme with homomorphic encryption for healthcare data,2023,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494623006956,,330,5/14/2024 20:15,journal-article,10.1016/j.asoc.2023.110677,1568-4946,,146,,110677,110677,4,4,1,4,1,,,,,,,,,
16,"Kaibing Zhang, Huake Wang, Wei Liu, Minqi Li, Jian Lu, Zhonghua Liu",An efficient semi-supervised manifold embedding for crowd counting,2020,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S156849462030572X,,331,5/14/2024 20:15,journal-article,10.1016/j.asoc.2020.106634,1568-4946,,96,,106634,106634,16,4,3,6,4,,,,,,,,,
8,"Srinjoy Ganguly, Sai Nandan Morapakula, Luis Miguel Pozo Coronado",Quantum Natural Language Processing Based Sentiment Analysis Using Lambeq Toolkit,2022,"2022 Second International Conference on Power, Control and Computing Technologies (ICPC2T)",IEEE,http://xplorestaging.ieee.org/ielx7/9776593/9776643/09776836.pdf?arnumber=9776836,,332,5/14/2024 20:15,proceedings-article,10.1109/icpc2t53885.2022.9776836,,,,,,,8,4,3,3,2,,,,,,,,,
8,"Wanting Qin, Jun Tang, Cong Lu, Songyang Lao",A typhoon trajectory prediction model based on multimodal and multitask learning,2022,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494622002174,,333,5/14/2024 20:15,journal-article,10.1016/j.asoc.2022.108804,1568-4946,,122,,108804,108804,8,4,2,4,2,,,,,,,,,
20,"Rui Ye, Qun Dai",MultiTL-KELM: A multi-task learning algorithm for multi-step-ahead time series prediction,2019,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494619301656,,334,5/14/2024 20:15,journal-article,10.1016/j.asoc.2019.03.039,1568-4946,,79,,227,253,20,4,10,2,5,,,,,,,,,
20,"Rui Ye, Qun Dai",MultiTL-KELM: A multi-task learning algorithm for multi-step-ahead time series prediction,2019,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494619301656,,335,5/14/2024 20:15,journal-article,10.1016/j.asoc.2019.03.039,1568-4946,,79,,227,253,20,4,10,2,5,,,,,,,,,
4,"Jujie Wang, Dongming Gao, Zhenzhen Zhuang",An optimized deep nonlinear integrated framework for wind speed forecasting and uncertainty analysis,2023,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494623003289,,336,5/14/2024 20:15,journal-article,10.1016/j.asoc.2023.110310,1568-4946,,141,,110310,110310,4,4,1,3,1,,,,,,,,,
12,"Hongchang Sun, Wenwen Zhai, Yugang Wang, Lei Yin, Fengyu Zhou",Privileged information-driven random network based non-iterative integration model for building energy consumption prediction,2021,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494621003616,,337,5/14/2024 20:15,journal-article,10.1016/j.asoc.2021.107438,1568-4946,,108,,107438,107438,12,4,2,5,3,,,,,,,,,
20,"Ling-Ling Li, Xin-Bao Zhang, Ming-Lang Tseng, Ya-Tong Zhou",Optimal scale Gaussian process regression model in Insulated Gate Bipolar Transistor remaining life prediction,2019,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494619300997,,338,5/14/2024 20:15,journal-article,10.1016/j.asoc.2019.02.035,1568-4946,,78,,261,273,20,4,5,4,5,,,,,,,,,
4,"Fanjun Li, Ying Li",Robust echo state network with Cauchy loss function and hybrid regularization for noisy time series prediction,2023,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494623006580,,339,5/14/2024 20:15,journal-article,10.1016/j.asoc.2023.110640,1568-4946,,146,,110640,110640,4,4,2,2,1,,,,,,,,,
12,"Fahui Miao, Li Yao, Xiaojie Zhao",Evolving convolutional neural networks by symbiotic organisms search algorithm for image classification,2021,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494621004609,,340,5/14/2024 20:15,journal-article,10.1016/j.asoc.2021.107537,1568-4946,,109,,107537,107537,12,4,4,3,3,,,,,,,,,
8,"Deming Lei, Hai Yang",Scheduling unrelated parallel machines with preventive maintenance and setup time: Multi-sub-colony artificial bee colony,2022,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494622004100,,341,5/14/2024 20:15,journal-article,10.1016/j.asoc.2022.109154,1568-4946,,125,,109154,109154,8,4,4,2,2,,,,,,,,,
4,"Wangying Xu, Xiaobing Yu",A multi-objective multi-verse optimizer algorithm to solve environmental and economic dispatch,2023,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494623006683,,342,5/14/2024 20:15,journal-article,10.1016/j.asoc.2023.110650,1568-4946,,146,,110650,110650,4,4,2,2,1,,,,,,,,,
4,"Wangying Xu, Xiaobing Yu",A multi-objective multi-verse optimizer algorithm to solve environmental and economic dispatch,2023,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494623006683,,343,5/14/2024 20:15,journal-article,10.1016/j.asoc.2023.110650,1568-4946,,146,,110650,110650,4,4,2,2,1,,,,,,,,,
20,"Xue Yu, Yuren Zhou, Xiao-Fang Liu",A novel hybrid genetic algorithm for the location routing problem with tight capacity constraints,2019,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494619305411,,344,5/14/2024 20:15,journal-article,10.1016/j.asoc.2019.105760,1568-4946,,85,,105760,105760,20,4,7,3,5,,,,,,,,,
16,"Tong Wu, Xinwang Liu",A dynamic interval type-2 fuzzy customer segmentation model and its application in E-commerce,2020,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494620303069,,345,5/14/2024 20:15,journal-article,10.1016/j.asoc.2020.106366,1568-4946,,94,,106366,106366,16,4,8,2,4,,,,,,,,,
20,"Liang Zheng, Chengcheng Xu, Peter J. Jin, Bin Ran",Network-wide signal timing stochastic simulation optimization with environmental concerns,2019,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494619300547,,346,5/14/2024 20:15,journal-article,10.1016/j.asoc.2019.01.046,1568-4946,,77,,678,687,20,4,5,4,5,,,,,,,,,
20,"Chao Luo, Nannan Zhang, Xingyuan Wang",Time series prediction based on intuitionistic fuzzy cognitive map,2019,Soft Computing,Springer Science and Business Media LLC,http://link.springer.com/content/pdf/10.1007/s00500-019-04321-8.pdf,,347,5/14/2024 20:15,journal-article,10.1007/s00500-019-04321-8,1432-7643,,24,9,6835,6850,20,4,7,3,5,,,,,,,,,
19,"Wenyan Guo, Yuan Wang, Fengqun Zhao, Fang Dai",Riesz fractional derivative Elite-guided sine cosine algorithm,2019,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494619302510,,348,5/14/2024 20:15,journal-article,10.1016/j.asoc.2019.04.044,1568-4946,,81,,105481,105481,19,3.8,5,4,5,,,,,,,,,
19,"Chong-Quan Zhong, Zhi-Zheng Xu, Hong-Fei Teng",Multi-module satellite component assignment and layout optimization,2019,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494618306537,,349,5/14/2024 20:15,journal-article,10.1016/j.asoc.2018.11.021,1568-4946,,75,,148,161,19,3.8,6,3,5,,,,,,,,,
19,"Chong-Quan Zhong, Zhi-Zheng Xu, Hong-Fei Teng",Multi-module satellite component assignment and layout optimization,2019,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494618306537,,350,5/14/2024 20:15,journal-article,10.1016/j.asoc.2018.11.021,1568-4946,,75,,148,161,19,3.8,6,3,5,,,,,,,,,
11,"Jin Yu, Xiaoming You, Sheng Liu",A heterogeneous guided ant colony algorithm based on space explosion and long–short memory,2021,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494621009133,,351,5/14/2024 20:15,journal-article,10.1016/j.asoc.2021.107991,1568-4946,,113,,107991,107991,11,3.67,4,3,3,,,,,,,,,
11,"Wei Lu, LiJun Zhao, Rong Xu",Remote sensing image processing technology based on mobile augmented reality technology in surveying and mapping engineering,2021,Soft Computing,Springer Science and Business Media LLC,https://link.springer.com/content/pdf/10.1007/s00500-021-05650-3.pdf,,352,5/14/2024 20:15,journal-article,10.1007/s00500-021-05650-3,1432-7643,,27,1,423,433,11,3.67,4,3,3,,,,,,,,,
11,"Mingen Gu, Jinde Zheng, Haiyang Pan, Jinyu Tong",Ramp sparse support matrix machine and its application in roller bearing fault diagnosis,2021,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494621008504,,353,5/14/2024 20:15,journal-article,10.1016/j.asoc.2021.107928,1568-4946,,113,,107928,107928,11,3.67,3,4,3,,,,,,,,,
11,"Pranjul Garg, Nancy Girdhar",A Systematic Review on Spam Filtering Techniques based on Natural Language Processing Framework,2021,"2021 11th International Conference on Cloud Computing, Data Science &amp; Engineering (Confluence)",IEEE,http://xplorestaging.ieee.org/ielx7/9377009/9376876/09377042.pdf?arnumber=9377042,,354,5/14/2024 20:15,proceedings-article,10.1109/confluence51648.2021.9377042,,,,,,,11,3.67,6,2,3,,,,,,,,,
11,"Yunlong Wang, Yongfu Wang, Jing Zhao, Jianfeng Xu",Observer-based adaptive neural network control for PEMFC air-feed subsystem,2021,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S156849462100925X,,355,5/14/2024 20:15,journal-article,10.1016/j.asoc.2021.108003,1568-4946,,113,,108003,108003,11,3.67,3,4,3,,,,,,,,,
11,"Yunlong Wang, Yongfu Wang, Jing Zhao, Jianfeng Xu",Observer-based adaptive neural network control for PEMFC air-feed subsystem,2021,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S156849462100925X,,356,5/14/2024 20:15,journal-article,10.1016/j.asoc.2021.108003,1568-4946,,113,,108003,108003,11,3.67,3,4,3,,,,,,,,,
11,"Mengran Liu, Weiwei Fang, Xiaodong Ma, Wenyuan Xu, Naixue Xiong, Yi Ding",Channel pruning guided by spatial and channel attention for DNNs in intelligent edge computing,2021,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494621005573,,357,5/14/2024 20:15,journal-article,10.1016/j.asoc.2021.107636,1568-4946,,110,,107636,107636,11,3.67,2,6,3,,,,,,,,,
18,"Shuai Wang, Jing Liu",Community robustness and its enhancement in interdependent networks,2019,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494619300535,,358,5/14/2024 20:15,journal-article,10.1016/j.asoc.2019.01.045,1568-4946,,77,,665,677,18,3.6,9,2,5,,,,,,,,,
18,"Yichao He, Xizhao Wang, Suogang Gao",Ring Theory-Based Evolutionary Algorithm and its application to D{0-1} KP,2019,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494619300602,,359,5/14/2024 20:15,journal-article,10.1016/j.asoc.2019.01.049,1568-4946,,77,,714,722,18,3.6,6,3,5,,,,,,,,,
18,"Yang Zhao, Jihong Pei, Hao Chen",Multi-layer radial basis function neural network based on multi-scale kernel learning,2019,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494619303205,,360,5/14/2024 20:15,journal-article,10.1016/j.asoc.2019.105541,1568-4946,,82,,105541,105541,18,3.6,6,3,5,,,,,,,,,
7,Wei Gao,Designing an interactive teaching model of English language using Internet of Things,2022,Soft Computing,Springer Science and Business Media LLC,https://link.springer.com/content/pdf/10.1007/s00500-022-07156-y.pdf,,361,5/14/2024 20:15,journal-article,10.1007/s00500-022-07156-y,1432-7643,,26,20,10903,10913,7,3.5,7,1,2,,,,,,,,,
14,"Chengmao Wu, Na Liu",Suppressed robust picture fuzzy clustering for image segmentation,2020,Soft Computing,Springer Science and Business Media LLC,http://link.springer.com/content/pdf/10.1007/s00500-020-05403-8.pdf,,362,5/14/2024 20:15,journal-article,10.1007/s00500-020-05403-8,1432-7643,,25,5,3751,3774,14,3.5,7,2,4,,,,,,,,,
